"BBL","Address","Initial Benefit Year","Exemption Years","Tax Year","Total # of MCIs","# of MCIs Granted in Full or Partial","# of MCIs Granted in Full","# of MCIs Denied"
1012320033,"506 AMSTERDAM AVE",1990,14,2000,1,1,1,0
1012330016,"2350 BROADWAY",1996,14,2000,4,3,0,1
1012330029,"201 W 85TH ST",1999,14,2000,2,2,1,0
1012350039,"206 W 88TH ST",1999,14,2000,1,1,0,0
1012360029,"205 W 88TH ST",1997,14,2000,2,2,0,0
1012360037,"210 W 89TH ST",1992,14,2000,3,3,0,0
1012360044,"216 W 89TH ST",2000,14,2000,2,2,0,0
1012410046,"210 W 94TH ST",1989,14,2000,5,5,2,0
1012410061,"698 W END AVE",1992,14,2000,1,1,0,0
1012420009,"3 TO 15 POMANDER WALK",1997,14,2000,1,1,1,0
1012420031,"706 AMSTERDAM AVE",1994,14,2000,1,1,0,0
1012420033,"710 AMSTERDAM AVE",1987,14,2000,5,4,1,1
1012420036,"200 W 95TH ST",1997,14,2000,2,2,2,0
1012430028,"205 W 95TH ST",1993,14,2000,1,1,0,0
1012440090,"98 RIVERSIDE DR",1990,14,2000,5,2,0,2
1012460001,"125 RIVERSIDE DR",1994,14,2000,2,2,2,0
1012470029,"525 W END AVE",1991,14,2000,2,1,1,0
1012490057,"155 RIVERSIDE DR",1996,14,2000,2,2,0,0
1012500006,"345 W 88TH ST",1993,14,2000,1,1,0,0
1012500030,"585 W END AVE",1992,14,2000,1,1,1,0
1012520005,"202 RIVERSIDE DR",1994,14,2000,6,5,3,0
1012520057,"697 W END AVE",1995,14,2000,1,1,1,0
1013030046,"142 TO 144 E 49TH ST",1994,14,2000,3,2,2,1
1013110028,"141 TO 153 E 56TH ST",1990,14,2000,6,5,2,0
1013280030,"240 E 55TH ST",1992,14,2000,1,1,0,0
1013290035,"222 TO 226 E 56TH ST",1997,14,2000,3,2,0,0
1013310014,"227 E 57TH ST",1996,14,2000,2,1,0,1
1013360010,"315 TO 323 E 43RD ST",1993,14,2000,1,1,1,0
1013400001,"301 E 47TH ST",1992,14,2000,2,2,0,0
1013410044,"310 E 49TH ST",1996,14,2000,2,2,1,0
1013430049,"300 E 51ST ST",1989,14,2000,4,3,3,0
1013440033,"340 E 52ND ST",1993,14,2000,6,5,2,1
1013460001,"301 E 53RD ST",1997,14,2000,2,2,1,0
1013470044,"310 E 55TH ST",1991,14,2000,1,1,0,0
1013500040,"320 E 58TH ST",1997,14,2000,3,3,2,0
1013510021,"349 E 58TH ST",1994,14,2000,1,1,0,0
1013610049,"400 E 50TH ST",1990,14,2000,1,1,1,0
1013630047,"398 E 52ND ST",1996,14,2000,1,1,0,0
1013660047,"400 E 55TH ST",1991,14,2000,2,1,0,1
1013680001,"400 E 57TH ST",1990,14,2000,1,1,0,0
1013690007,"419 E 57TH ST",1993,14,2000,1,1,0,0
1013690045,"400 E 58TH ST",1992,14,2000,1,1,1,0
1013820013,"17 E 67TH ST",1990,14,2000,3,3,1,0
1013900133,"61 E 75TH ST",1994,14,2000,1,1,0,0
1014090021,"145 E 74TH ST",1990,14,2000,2,1,0,1
1014110031,"191 E 76TH ST",1990,14,2000,1,1,0,0
1014150021,"252 E 61ST ST",1990,14,2000,2,2,2,0
1014170035,"220 E 63RD ST",1996,14,2000,4,2,1,0
1014250029,"230 E 71ST ST",1993,14,2000,1,1,0,0
1014280036,"226 E 74TH ST",1993,14,2000,1,1,1,0
1014320036,"236 E 78TH ST",2000,14,2000,1,1,0,0
1014320038,"226 TO 230 E 78TH ST",1992,14,2000,1,1,1,0
1014320040,"220 E 78TH ST",1992,14,2000,1,1,1,0
1014360033,"348 E 62ND ST",1999,14,2000,1,1,0,0
1014360034,"346 E 62ND ST",1999,14,2000,1,1,0,0
1014360035,"344 E 62ND ST",2000,14,2000,3,3,1,0
1014370027,"1143 TO 1145 1ST AVE",1990,14,2000,1,1,1,0
1014370032,"340 E 63RD ST",1990,14,2000,4,4,3,0
1014370041,"330 E 63RD ST",1990,14,2000,3,2,0,1
1014390046,"310 E 65TH ST",1997,14,2000,1,1,0,0
1014410035,"336 E 67TH ST",1989,14,2000,1,1,1,0
1014410037,"332 TO 334 E 67TH ST",1998,14,2000,1,1,0,0
1014480029,"1373 1ST AVE",1997,14,2000,1,1,0,0
1014490038,"310 E 75TH ST",1993,14,2000,2,2,1,0
1014510031,"350 E 77TH ST",1990,14,2000,3,2,2,1
1014530008,"311 E 78TH ST",1991,14,2000,1,1,1,0
1014530043,"308 E 79TH ST",1992,14,2000,1,1,0,0
1014670144,"402 E 73RD ST",1992,14,2000,3,2,0,1
1014680031,"490 E 74TH ST",1997,14,2000,1,1,0,0
1014680047,"1380 1ST AVE",1992,14,2000,1,1,0,0
1014730008,"409 E 78TH ST",2000,14,2000,1,1,1,0
1014830038,"520 E 72ND ST",1999,14,2000,1,1,0,0
1014900001,"1482 YORK AVE",1998,34,2000,8,8,5,0
1014900009,"509 E 78TH ST",1998,34,2000,4,4,4,0
1014900010,"511 TO 515 E 78TH ST",1998,34,2000,2,2,2,0
1014900015,"519 E 78TH ST",1998,34,2000,2,2,2,0
1014900019,"527 E 78TH ST",1999,34,2000,2,2,1,0
1014900023,"535 TO 539 E 78TH ST",1999,34,2000,2,2,1,0
1014900028,"542 E 79TH ST",1999,34,2000,2,2,2,0
1014900030,"536 E 79TH ST",1998,34,2000,2,2,1,0
1014900032,"524 TO 528 E 79TH ST",1998,34,2000,2,2,2,0
1014900036,"516 TO 520 E 79TH ST",1998,34,2000,2,2,1,0
1014900040,"510 TO 512 E 79TH ST",1998,34,2000,2,2,1,0
1014900044,"508 E 79TH ST",1998,34,2000,4,4,4,0
1014910060,"20 E 80TH ST",1992,14,2000,1,1,1,0
1014920049,"1067 TO 1071 MADISON AVE",1989,14,2000,5,4,2,0
1015060016,"27 E 94TH ST",1996,14,2000,3,3,3,0
1015110008,"113 TO 119 E 82ND ST",1995,14,2000,2,2,0,0
1015120040,"160 E 84TH ST",1997,14,2000,3,3,1,0
1015140039,"163 TO 199 E 85TH ST",1998,14,2000,1,1,0,0
1015150007,"103 E 86TH ST",1997,14,2000,2,1,0,0
1015160047,"162 E 88TH ST",1999,14,2000,1,1,1,0
1015160052,"152 TO 160 E 88TH ST",1992,14,2000,2,2,0,0
1015180009,"115 E 89TH ST",1992,14,2000,6,2,0,3
1015180024,"141 E 89TH ST",1990,14,2000,2,2,1,0
1015210064,"118 E 93RD ST",1990,14,2000,1,1,0,0
1015240001,"1225 PARK AVE",1992,14,2000,2,2,0,0
1015250021,"239 E 79TH ST",1991,14,2000,1,1,0,0
1015250033,"232 E 80TH ST",1994,14,2000,5,4,3,1
1015280033,"234 E 83RD ST",1990,14,2000,1,1,0,0
1015280039,"216 E 83RD ST",2000,14,2000,1,1,0,0
1015290043,"204 E 84TH ST",1992,14,2000,1,1,0,0
1015300006,"213 E 84TH ST",1989,14,2000,1,1,0,0
1015330122,"235 E 87TH ST",1999,14,2000,1,1,0,0
1015420019,"333 E 79TH ST",1993,14,2000,1,1,0,0
1015420048,"306 E 80TH ST",1998,14,2000,1,1,0,0
1015440038,"322 E 82ND ST",1997,14,2000,1,1,1,0
1015460006,"305 E 83RD ST",1998,14,2000,4,4,1,0
1015460023,"353 E 83RD ST",1995,14,2000,3,3,0,0
1015470005,"305 E 84TH ST",1994,14,2000,1,1,1,0
1015470037,"330 E 85TH ST",1995,14,2000,1,1,1,0
1015490001,"305 TO 329 E 86TH ST",1993,14,2000,6,5,1,1
1015500001,"301 E 87TH ST",1998,14,2000,1,1,0,0
1015510026,"1705 1ST AVE",1996,14,2000,3,2,1,0
1015520006,"307 E 89TH ST",1999,14,2000,1,1,1,0
